Date,Price,
06/10/2015,181.350006,
07/10/2015,182.399994,
07/10/2015,182.869995,
08/10/2015,182.440002,
08/10/2015,184.479996,
09/10/2015,184.660004,
09/10/2015,184.580002,
12/10/2015,184.679993,
12/10/2015,184.800003,
13/10/2015,183.979996,
13/10/2015,183.570007,
14/10/2015,183.449997,
14/10/2015,182.710007,
15/10/2015,183.399994,
15/10/2015,185.449997,
16/10/2015,185.919998,
16/10/2015,186.199997,
19/10/2015,185.660004,
19/10/2015,186.419998,
20/10/2015,186.020004,
20/10/2015,186.179993,
21/10/2015,186.789993,
21/10/2015,184.970001,
22/10/2015,186.020004,
22/10/2015,188.169998,
23/10/2015,190,
23/10/2015,190.220001,
26/10/2015,190.110001,
26/10/2015,189.770004,
27/10/2015,189.080002,
27/10/2015,189.399994,
28/10/2015,189.839996,
28/10/2015,191.600006,
29/10/2015,191.039993,
29/10/2015,191.529999,
30/10/2015,191.820007,
30/10/2015,190.559998,
02/11/2015,190.979996,
02/11/2015,192.820007,
03/11/2015,192.539993,
03/11/2015,193.429993,
04/11/2015,193.770004,
04/11/2015,192.880005,
05/11/2015,192.990005,
05/11/2015,192.639999,
06/11/2015,192.259995,
06/11/2015,192.559998,
09/11/2015,191.889999,
09/11/2015,190.759995,
10/11/2015,190.259995,
10/11/2015,191.119995,
11/11/2015,191.479996,
11/11/2015,190.389999,
12/11/2015,189.360001,
12/11/2015,187.839996,
13/11/2015,187.350006,
13/11/2015,185.669998,
16/11/2015,185.5,
16/11/2015,188.520004,
17/11/2015,188.860001,
17/11/2015,188.289993,
18/11/2015,188.910004,
18/11/2015,191.320007,
19/11/2015,191.300003,
19/11/2015,191.220001,
20/11/2015,192.009995,
20/11/2015,191.929993,
23/11/2015,191.889999,
23/11/2015,191.710007,
24/11/2015,190.630005,
24/11/2015,192.020004,
25/11/2015,192.149994,
25/11/2015,191.960007,
27/11/2015,192.080002,
27/11/2015,192.149994,
30/11/2015,192.449997,
30/11/2015,191.369995,
01/12/2015,192.050003,
01/12/2015,193.220001,
02/12/2015,193.179993,
02/12/2015,191.179993,
03/12/2015,191.559998,
03/12/2015,188.460007,
04/12/2015,188.990005,
04/12/2015,192.160004,
07/12/2015,191.880005,
07/12/2015,190.949997,
08/12/2015,189.25,
08/12/2015,189.729996,
09/12/2015,189.119995,
09/12/2015,188.309998,
10/12/2015,188.5,
10/12/2015,188.740005,
11/12/2015,186.440002,
11/12/2015,184.979996,
14/12/2015,185.320007,
14/12/2015,186.089996,
15/12/2015,187.75,
15/12/2015,188.029999,
16/12/2015,189.279999,
16/12/2015,190.669998,
17/12/2015,191.139999,
17/12/2015,187.889999,
18/12/2015,186.949997,
18/12/2015,184.399994,
21/12/2015,184.740005,
21/12/2015,184.929993,
22/12/2015,185.850006,
22/12/2015,186.600006,
23/12/2015,187.75,
23/12/2015,188.839996,
24/12/2015,188.690002,
24/12/2015,188.509995,
28/12/2015,187.850006,
28/12/2015,188.100006,
29/12/2015,189.429993,
29/12/2015,190.199997,
30/12/2015,189.970001,
30/12/2015,188.800003,
31/12/2015,188.119995,
31/12/2015,186.929993,
04/01/2016,183.770004,
04/01/2016,184.309998,
05/01/2016,184.570007,
05/01/2016,184.639999,
06/01/2016,181.929993,
06/01/2016,182.300003,
07/01/2016,179.149994,
07/01/2016,177.860001,
08/01/2016,178.970001,
08/01/2016,175.970001,
11/01/2016,177.039993,
11/01/2016,175.990005,
12/01/2016,177.75,
12/01/2016,177.449997,
13/01/2016,178.429993,
13/01/2016,173.110001,
14/01/2016,173.789993,
14/01/2016,175.919998,
15/01/2016,171.199997,
15/01/2016,172.149994,
19/01/2016,174.199997,
19/01/2016,172.339996,
20/01/2016,169.589996,
20/01/2016,170.320007,
21/01/2016,170.789993,
21/01/2016,171.149994,
22/01/2016,174.029999,
22/01/2016,174.660004,
25/01/2016,174.100006,
25/01/2016,172.070007,
26/01/2016,172.850006,
26/01/2016,174.399994,
27/01/2016,173.889999,
27/01/2016,172.419998,
28/01/2016,174.130005,
28/01/2016,173.360001,
29/01/2016,174.339996,
29/01/2016,177.75,
01/02/2016,176.610001,
01/02/2016,177.589996,
02/02/2016,175.860001,
02/02/2016,174.369995,
03/02/2016,175.470001,
03/02/2016,175.389999,
